Nazvanie_knigi;Nazvanie_na_jazyke_originala;Opisanie;ISBN;Avtor;Izdatelstvo;God_vypuska;Kolichestvo_stranic;Perepljot;Serija;Tirazh;Format;Ves;Oblozhka;Kategorija;Podkategoriya_1;Podkategoriya_2;Podkategoriya_3;Podkategoriya_4;Podkategoriya_5;Podkategoriya_6;Podkategoriya_7
1001 идея. Книга для маленькой принцессы. Волшебное рукоделие;;Эта книга адресована девочкам, увлекающимся рукоделием.   Четкие, понятные инструкции и описания, красочные фотографии и схемы позволяют создать оригинальные поделки из самых различных материалов: украшения из бисера и бусин, плетеные браслеты и фенечки, цветы из декоративной бумаги, стильные вязаные сумочки, мягкие игрушки и многое другое.;9,79E+12;;Академия Развития;2010;128;твердый;1001 идея;;84x108/16;0.5;1001-ideya-kniga-dlya-malenkoy-printsessyi-volshebnoe-rukodelie_4644212.jpg;Книги;Детская литература. Книги для детей и родителей;Детское творчество и досуг;Рукоделие, кулинария для детей;;;;
1000 заданий по чтению для начальной школы;;Данное универсальное пособие поможет Дошкольникам и младшим школьникам выработать навыки правильного и быстрого чтения. Тексты и задания расположены в соответствии с принципом постепенного усложнения материала. Все представленные тексты соответствуют школьной программе. Читая эту книгу, дети расширят свой кругозор, познакомятся с разнообразными жанрами литературы, узнают новых авторов. Пособие может быть использовано не только учителями начальных классов, но и родителями как Книга для чтения при самостоятельной работе с детьми.   ;9,79E+12;Пименова Т.М.;Директ-Медиа;2009;448;мягкий;;;;1.19 кг;1000-zadaniy-po-chteniyu-dlya-nachalnoy-shkolyi_6092838.jpg;Книги;Книга по требованию;Детско-юношеская и учебная литература;Учебная литература и учебные материалы;Образование: Иностранные языки (кроме английского);;;
1001 заговор сибирской целительницы;;Магические рецепты знаменитой сибирской целительницы Натальи Ивановны Степановой помогли миллионам её учеников по всей России защититься от воздействия враждебных сил, вернуть здоровье, душевный покой, добиться успеха в делах и вернуть семейное счастье.;978-5-386-05467-0;Степанова Н.И.;Рипол Классик;2013;800;твердый;;;60х84/32;;1001-zagovor-sibirskoy-tselitelnitsyi_9078144.jpg;Книги;Профессиональная, специальная  и учебная литература;Религия. Эзотерика;Эзотерика. Парапсихология. Оккультизм;Магия. Колдовство. Суеверия;;;
100 + 2. Психологические этюды, упражнения, задания;;"Занятия драмой - это воздействие на память, волю, воображение, чувство, внимание, мышление. Они помогают развить логику, владеть своим телом и не стесняться его, освободиться от внутренних зажимов, воплотить через игру несбывшиеся идеи и мечты.<br/>Речь идет не о подготовке к профессиональной актерской карьере, но о ""проверке действием"" множества межличностных взаимодействий: я и товарищи, я и другой, я и родители, сильный и слабый, враг и друг...<br/>В издании представлена авторская методика ""Драма. Импровизация. Дилемма"", дается ""пошаговое"" описание ее использования на практике, приводятся более ста театральных и психологических этюдов, упражнений, заданий.<br/>Рекомендуется преподавателям драмы, психологии, педагогики, работникам неформального образования, специалистам в области групповых методов тренинга.";978-5-9957-0608-3;Кипнис М.;Ось-89;2013;192;мягкий;;500;60x88/16;0, 18;100-2-psihologicheskie-etyudyi-uprajneniya-zadaniya_10337454.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Психология;Практическая психология;;;
100 чудес света. Великие шедевры планеты;;;978-5-699-64080-5;Болушевский С.В.;Эксмо;2013;240;твердый;;1000;84x106/12;1, 892;100-chudes-sveta-velikie-shedevryi-planetyi_10756071.jpg;Книги;Подарочные издания;Живопись. Искусство и культура;;;;;
100 чудес современной архитектуры;;;9,79E+12;Элисон Ахерн, Андре Форбс, Фей Свит, Хэмиш Скотт;БММ;2009;224;твердый+суперобложка;;;235x290 мм;01.���;100-chudes-sovremennoy-arhitekturyi_5608370.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Архитектура;;;
100 чудес света. Великие шедевры планеты;;"Великолепно иллюстрированная книга-альбом познакомит вас с самыми знаменитыми и интересными памятниками архитектуры и чудесами природы со всего мира. Впервые в одном издании представлены на только иллюстрации и описания достопримечательностей, но и рассматриваются варианты поездок к ним, вплоть до расчета бюджета путешествия.<br/>Книга предложит вам как увлекательное путешествие вокруг света ""на диване"", так и незабываемое реальное приключение.";978-5-699-66302-6;;Эксмо;2013;240;твердый;;1500;84x106/12;1, 89;100-chudes-sveta-velikie-shedevryi-planetyi_10572796.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Фотоальбомы о путешествиях;;;
100 архитектурных шедевров мира;;Серия книг о самых лучших в мире местах и достижениях человечества. В каждой книге представлены 100 объектов по теме с красочными иллюстрациями, интересными описаниями и полезной информацией. Соберите всю коллекцию этих потрясающих книг, и на вашей книжной полке будут издания о самых красивых в мире местах, дворцах, замках, автомобилях, о самых известных предметах оружия, о лучших в мире спортсменах и многом другом. Это будет коллекция, которой, без сомнения, можно гордиться!;978-5-699-66649-2;;Эксмо;2013;96;твердый;100 лучших;4000;60x84/8;0, 656;100-arhitekturnyih-shedevrov-mira_10498206.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Архитектура;;;
100 головоломок для искателей приключений;;;978-5-699-69920-9;;Эксмо;2014;56;мягкий;Тренировка для ума;5000;60x84/8;0, 176;100-golovolomok-dlya-iskateley-priklyucheniy_10850466.jpg;Книги;Детская литература. Книги для детей и родителей;Детское творчество и досуг;Головоломки, кроссворды для детей;;;;
100 contemporary fashion designers;;A compendium 100 contemporary fashion designers. It studies fashion design around the world at the beginning of the 21st century.;978-3-8365-1686-0;Jones T.;taschen;2010;412;твердый;;;175x254 мм;;100-contemporary-fashion-designers_5317603.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Иностранные языки;Языки стран Европы;Английский язык;Чтение на английском языке
100 городов мира, которые необходимо увидеть;;"В каждом из нас живет путешественник-первооткрыватель, так как никогда не иссякнет желание человека увидеть неизвестные земли, страны и города. Настоящее издание - это своеобразный географический гид, который поведет вас по миру, увлекая из одной страны в другую.   Но что можно сказать о стране, не побывав в ее многочисленных городах? Ведь именно города раскрывают нам ""секреты"" страны. В данной книге описано 100 городов мира, которых объединяет одна особенность - все они уникальны. Строгий Лондон и шумный Нью-Йорк, старинный Рим и величественная Агра, отраженная в водах Венеция и древний Исфахан, загадочный Перт и хранитель истории своего народа Каир пройдут перед взором читателя. Вы узнаете о традициях и легендах этих мест, об их реликвиях и тайнах, о достопримечательностях и архитектурных шедеврах минувших эпох. Здесь прошлое объясняет настоящее, и эта неразрывная связь помогает понять историю и жизнь этих необыкновенных городов. Издание будет полезно всем, кто нуждается в актуальной информации о городах мира, а также станет прекрасным помощником для отправляющихся в путешествие, так как знание обо всех лучших местах позволит сэкономить время при выборе именно того места, которое вам действительно интересно.";9851614971;Шереметьева Т.Л.;Харвест;2011;304;твердый;;5000;70x100/8;1, 625;100-gorodov-mira-kotoryie-neobhodimo-uvidet_5584021.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Путеводители;Путеводители по всему миру;;
100 главных принципов дизайна;100 Things Every Designer Needs to Know About People;;978-5-496-00246-2;Уэйншенк С.;Питер;2013;272;мягкий;Библиотека специалиста;;70x100/16;0, 391;100-glavnyih-printsipov-dizayna_9137536.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Декоративно-прикладное искусство. Дизайн;;;
100 идей, изменивших искусство;;;978-5-699-65401-7;Бёрд М.;Эксмо;2014;216;твердый;Идеи, изменившие мир;3016;60x84/8;1, 172;100-idey-izmenivshih-iskusstvo_10714303.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;Искусствоведение. История искусств;;;
100 главных правил английского языка. Учебное пособие;;В пособии кратко сформулированы основные правила грамматики английского языка. Все правила сопровождаются пояснениями и многочисленными примерами, в ряде случаев снабженными переводом. Удобная подача материала помогает читателю свободно ориентироваться в пособии и быстро находить ответы на интересующие вопросы. Книгой можно пользоваться уже с первых занятий и возвращаться к ней на протяжении всего периода изучения языка, а также в процессе повторения пройденного материала. Предназначено для школьников, студентов и всех изучающих английский язык.;978-5-392-09121-8;Васильева Е.А.;Проспект;2013;199;;;3000;60х90/16;;100-glavnyih-pravil-angliyskogo-yazyika-uchebnoe-posobie_7386888.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Иностранные языки;Языки стран Европы;Английский язык;Учебная литература для изучающих английский язык
100 дней для здоровья, долголетия и полезного секса. Руководство по даосской йоге и цигун;;"<p>В этой книге Эрик Стивен Юдлав открывает нам древние даосские секреты омоложения, включающие в себя цигун, сексуальную йогу и практики достижения долголетия. Книга ""100 дней для здоровья, долголетия и полезного секса"" предоставляет 14-недельную программу и знакомит читателя с возможностями Цигун, Шести Исцеляющих Звуков, Бадуаньчжи, Самомассажа, Сексуального Кунфу, Внутренней Улыбки, Раскрытия золотого Цветка и многих других методик.</p>";5944320354;Юдлав Эрик;Будущее Земли;2006;320;мягкий;Здоровье;;70х100/16;0.3;100-dney-dlya-zdorovya-dolgoletiya-i-poleznogo-seksa-rukovodstvo-po-daosskoy-yoge-i-tsigun_4125488.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Спорт;Физическая культура и спорт;;;;
100 чудес природы России;;;978-5-699-69553-9;;Эксмо;2014;96;твердый;100 лучших;5000;60x84/8;0, 66;100-chudes-prirodyi-rossii_10731063.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Путеводители;Путеводители по России;;
100 чудес света. Великие шедевры планеты;;;978-5-699-64076-8;Болушевский С.В.;Эксмо;2013;240;твердый;;1000;84x106/12;1, 886;100-chudes-sveta-velikie-shedevryi-planetyi_10756057.jpg;Книги;Подарочные издания;Живопись. Искусство и культура;;;;;
100 храмов Золотого кольца России;;;978-5-88353-385-2;;БММ;2011;240;твердый+суперобложка;;5000;240x290;1.358;100-hramov-zolotogo-koltsa-rossii_7521688.jpg;Книги;Новинки и бестселлеры;Бестселлеры;;;;;
100 идей для школьных друзей. Внеклассная работа. 5-11 классы;;Настоящее издание составлено с учетом тех сложностей, с которыми встречается классный руководитель в работе с подростками и старшеклассниками в современных условиях.   Оно, несомненно, поможет педагогу эффективно организовать воспитательную деятельность в классе. Особенностью книги является то, что в ней представлены разнообразные по форме и содержанию разработки воспитательных мероприятий, которые будут интересны школьникам: мастерские общения, этические беседы, деловые игры, психологические тренинги, дебаты, ток-шоу, интеллектуальные, развлекательные игры. Книга адресована классным руководителям 5-11 классов, школьным психологам, воспитателям, всем педагогам, заинтересованным в обновлении воспитательного процесса в образовательном учреждении.;9,79E+12;Марина Алоева;Феникс;2008;412;твердый;С нашим классным - жизнь прекрасна;;84х108/32;;100-idey-dlya-shkolnyih-druzey-vneklassnaya-rabota-5-11-klassyi_4588269.jpg;Книги;Профессиональная, специальная  и учебная литература;Общественные науки;Педагогика;Общие вопросы педагогики;;;
1001 путь к уверенности;;Каждый хочет быть уверенным в себе. Ведь это дает множество преимуществ: успехи в работе, любви, дружбе. Однако стоит нам задуматься над этой темой серьезнее, как сами собой появляются вопросы: что такое - настоящая уверенность? Откуда она появляется и почему нам так часто кажется, что мы ее потеряли?<br/>Эта книга содержит множество афоризмов об уверенности. Вы узнаете, как достичь желанного ощущения, учась ценить себя, доверяя своим способностям и преодолевая жизненные трудности. Цитаты известных писателей, актеров, спортсменов и других знаменитых людей помогут найти силы для достижения своих целей.;978-5-699-63106-3;Морланд Э.;Эксмо;2013;384;твердый;;3030;52x54/16;0, 45;1001-put-k-uverennosti_10472123.jpg;Книги;Художественная литература. Публицистика. Мемуары;Юмор. Афоризмы;Афоризмы. Притчи. Цитаты;;;;
100 клинических разборов. Хирургия;;;9,79E+12;Черноусов А.Ф., Хоробрых Т.В.;ГЭОТАР-Медиа;2009;288;мягкий;;;60x90/16;0.2;100-klinicheskih-razborov-hirurgiya_4149751.jpg;Книги;Профессиональная, специальная  и учебная литература;Медицина и здоровье;Хирургия;Основы хирургии;;;
100% Аудио Английский на CD;;Книга + 4 аудио CD.<br/>Это курс живого разговорного английского.   Вы научитесь знакомиться, общаться по телефону, проходить интервью при приеме на работу, чувствовать себя уверенно в аэропорту, в банке, на почте, словом - везде, где вокруг говорят на английском!;5946190377;;Дельта Паблишинг;2003;412;Коробка;;;;;100-audio-angliyskiy-na-cd_5624268.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Иностранные языки;Языки стран Европы;Английский язык;Учебная литература для изучающих английский язык
1000 золотых страниц для подготовки и сдачи ЕГЭ;;;978-5-91503-295-7;Ларина О.В., Мошенская Г.Н., Антонова Н.П., Королева Н.С.;Славянский дом книги;2014;962;твердый;;1500;84x108/32;0, 63;1000-zolotyih-stranits-dlya-podgotovki-i-sdachi-ege_10941052.jpg;Книги;Профессиональная, специальная  и учебная литература;Книги для школы;Поиск пособий по предметам;Русский язык и литература;Русская литература;;
100 городов мира, которые необходимо увидеть;;;978-985-16-1497-0;Шереметьева Т.Л.;АСТ;2012;304;твердый;;;70x100/8;1, 635;100-gorodov-mira-kotoryie-neobhodimo-uvidet_4942764.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Фотоальбомы о путешествиях;;;
100 идей, продлевающих молодость;;;978-5-17-082786-2;Тихонова И.;АСТ;2014;192;твердый;Антивозраст;3000;70x90/16;0, 35;100-idey-prodlevayuschih-molodost_11019773.jpg;Книги;Профессиональная, специальная  и учебная литература;Медицина и здоровье;Популярная и нетрадиционная медицина;Долголетие. Омоложение;;;
100 имен - 100 судеб. Как назвать Вашего ребенка;;Эта книга незаменима для молодых родителей, бабушек и дедушек. Выбор имени для ребенка во многом предопределяет его судьбу.   Вот почему необходимо вдумчиво, с любовью к малышу и заботой о его судьбе подбирать имя. Вы хотите, чтобы Ваше ненаглядное сокровище, повзрослев, добилось успехов в политике, или мечтаете о карьере банкира для Вашего дитяти? С помощью данной книги можно изучить символическое значение, тайны силы, скрытые в каждом имени, его психологию и астрологию.<br/>Для широкого круга читателей.;9,79E+12;Цымбалова Л.Н.;Феникс;2009;412;твердый;Без проблем;;84x108/32;;100-imen-100-sudeb-kak-nazvat-vashego-rebenka_5674974.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Общее и прикладное языкознание;;;
100% Аудио Немецкий на аудиокассетах;;Вы давно хотели выучить немецкий, на котором говорит весь мир, но у Вас нет времени, чтобы посещать курсы иностранных языков? Возьмите с собой курс <b>100% АУДИО НЕМЕЦКИЙ!</b><br/>Теперь у Вас есть возможность учить иностранный язык за рулем или дома, пока Вы занимаетесь домашними делами, на отдыхе или в спортклубе - везде, где есть проигрыватель компакт-дисков!   Это курс живого разговорного немецкого. Вы научитесь знакомиться, общаться по телефону, проходить интервью при приеме на работу, чувствовать себя уверенно в аэропорту, в банке, на почте, словом - везде, где вокруг говорят по-немецки! Говорящий по-русски диктор проведет Вас через серию коротких и удобных для запоминания уроков. Все, что от Вас требуется - это слушать и повторять вслед за немецкими дикторами. Не требуется ничего читать, хотя для удобства мы включили в комплект пособие, где Вы можете видеть подробно все, что записано на аудио компакт-дисках - диалоги, написание слов и грамматические правила.<br/>Словарь Грамматика Диалоги.<br/>Каждый из 35 уроков начинается с раздела (А), где приводятся основные слова и фразы, в разделе (Б) Вы слышите диалог на немецком языке, затем тот же диалог, предложение за предложением, приводится с русским переводом. В разделе (В) Вы узнаете новые слова и выражения. Практический материал раздела (Г) поможет закрепить новую лексику. Раздел (Д) посвящен объяснению грамматического материала. Раздел (Е) - упражнения по грамматике. В разделе (Ж) рассказывается об особенностях культуры и поведения в странах, где говорят на немецком языке. Раздел (З) - упражнения на разговорную практику, в которых Вам будет дана возможность использовать все, что Вы выучили в данном уроке.;5946190385;;Дельта Паблишинг;2003;412;мягкий;Немецкий язык;;;;100-audio-nemetskiy-na-audiokassetah_4496023.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Языкознание, риторика;Иностранные языки;Языки стран Европы;Немецкий язык;Учебная литература для изучающих немецкий язык
100 и 1 игра для развития ребенка 4-5 лет;;50 развивающих карточек для детей, которые<br/>• помогут развить мышление, речь, память и мелкую моторику <br/>• подготовят к обучению в школе <br/>• научат быть усидчивым, внимательным, находчивым и логичным <br/>• дадут возможность родителям и воспитателям с пользой и удовольствием занять ребенка.;9,79E+12;Гита Сташевская;Речь;2011;50;твердый;;;110х155 мм;;100-i-1-igra-dlya-razvitiya-rebenka-4-5-let_7406273.jpg;Книги;Детская литература. Книги для детей и родителей;Детское творчество и досуг;Головоломки, кроссворды для детей;;;;
100 блюд из курицы;;100 очень простых и очень вкусных блюд из курицы, от легких закусок и сэндвичей до пряных карри и сытных рагу. Благодаря прекрасным иллюстрациям и четким инструкциям готовить по этой книге будет легко и приятно любому кулинару.;978-5-98837-033-8;Льюис С.;Кукбукс;2013;240;мягкий;Просто. Быстро. Вкусно;3000;140x165 мм;0, 358;100-blyud-iz-kuritsyi_9177320.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Рецепты для различных видов продуктов;Мясо. Птица;;
100 городов мира, которые необходимо увидеть;;В данной книге описаны города мира, которые объединяет одна особенность - все они уникальны.   Вы узнаете о традициях и легендах этих мест, об их реликвиях и тайнах, о достопримечательностях и архитектурных шедеврах минувших эпох. Здесь прошлое объясняет настоящее, и эта неразрывная связь помогает понять историю и жизнь этих необыкновенных городов. Издание хорошо иллюстрировано.;9,79E+12;Шереметьева Т.Л.;Харвест;2010;320;твердый;;5000;70x120/32;0, 61;100-gorodov-mira-kotoryie-neobhodimo-uvidet_5714775.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Книги для путешественников;Путеводители;Путеводители по всему миру;;
1000 заданий для умников и умниц;;Умники и умницы! Проверьте свою эрудицию и сообразительность! Сложные задачки, хитрые ребусы, кроссворды, фокусы и самые головоломные головоломки ждут, когда вы приложите к ним свои интеллектуальные силы. Для того чтобы справиться с нашими заданиями, вам понадобятся знания литературы, русского языка, математики, геометрии, географии и истории. Ну а если какие-то из них окажутся вам не по зубам, загляните в конец книги - там вас ждут правильные ответы.;978-5-462-01154-2;;АСТ-Пресс Книга;2011;304;мягкий;Личное время;;84х108/32;;1000-zadaniy-dlya-umnikov-i-umnits_4712006.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Хобби. Досуг;Праздники. Развлечения. Игры;;;;
100 Amazing Facts about the Negro with Complete Proof;;"2013 Reprint of 1957 Edition. Full facsimile of the original edition, not reproduced with Optical Recognition Software. Joel Augustus Rogers (1880-1966) was a Jamaican-American author, journalist, and historian who contributed to the history of Africa and the African diaspora, especially the history of African Americans in the United States. His research spanned the academic fields of history, sociology and anthropology. He challenged prevailing ideas about race, demonstrated the connections between civilizations, and traced African achievements. He was one of the greatest popularizers of African history in the 20th century. Roger's work is a compendium of ""amazing facts"" he presents to confirm the Black man's central position in World History. It is a comprehensive sketch compiled from various scholarly sources. Among other things, Rogers provides to support that the Biblical Jews were indeed a black people.    ";9,78E+12;J. a. Rogers;Martino Fine Books;2013;68;мягкий;;;;0.12 кг;100-amazing-facts-about-the-negro-with-complete-proof_10511919.jpg;Книги;Книга по требованию;Общество и социальные исследования;Все книги раздела Общество и социальные исследования;;;;
100 изысканных блюд;;Изысканная еда - это страсть гурманов, умеющих почувствовать тонкий аромат и малейшие оттенки вкуса. Но и те люди, для которых еда не имеет особого значения, не откажутся от особого блюда. Ибо вкусно поесть любят все. В этой книге приведены рецепты блюд, которые порадуют самых капризных едоков и помогут вам устроить настоящий кулинарный праздник. Бумага газетная.;9,79E+12;Выдревич Г.С., Выдревич Г.С.;Эксмо;2009;64;;Очень просто. от завтрака до ужина;5000;70x100/32;0, 036;100-izyiskannyih-blyud_4994530.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Поваренные книги. Кулинарные рецепты;;;
100 лет Моды в иллюстрациях;100 Years of Fashion Illustration;Люди увлекаются не модой, а лишь теми немногими, кто ее создает.<br/><b>Коко Шанель</b><br/>Их 400. Картин, обложек, рекламных плакатов, вывесок, иллюстрирующих моду последних 100 лет. Они ослепительны, трогательны и романтичны, жестки, лаконичны и продуманны. Они заставляют ностальгировать и восхищаться. Их создатели - лучшие художники и иллюстраторы, верноподданные прекрасного, изменчивого и коварного божества, имя которому МОДА.<br/>Художники всегда были очарованы модой. Но только в ХХ веке иллюстрации со страниц ее библий под названием Vogue, Harper's Bazaar, Women's Wear Daily сумели превратить привычное безжизненное изображение одежды в ослепительный вихрь мечты и настроения, чувств и ожиданий.<br/>Удивительные образы нарядов Коко Шанель, Кристиана Диора и Джанни Версаче обретали новую жизнь в работах художников-иллюстраторов, став зеркалом всех изобразительных стилей ХХ века от ар-деко и модернизма до компьютерной графики.<br/>Смотрите, читайте и наслаждайтесь счастливым ощущением сопричастности к волшебному миру элегантности и красоты. Восхищайтесь и сопереживайте - мода не терпит равнодушных.;978-5-389-06047-0;Блэкмен К.;Колибри;2013;384;футляр;Век моды;3000;84x108/16;1, 683;100-let-modyi-v-illyustratsiyah_10479429.jpg;Книги;Профессиональная, специальная  и учебная литература;Гуманитарные науки;Искусство и культура;История культуры. Культурология;;;
100 фруктов, овощей и трав на твоей кухне;;В книге представлены в алфавитном порядке наиболее популярные в кулинарии растения - фрукты, овощи, а также лекарственные травы и приправы.   Даются практические рекомендации по правильной обработке растительных продуктов и способам приготовления блюд. Приводится содержание основных питательных компонентов, а также содержание витаминов, минеральных элементов и биологически активных веществ, которые могут использоваться с лечебными целями и улучшить Ваше самочувствие. Здесь Вы найдете более 900 кулинарных рецептов приготовления вкусных блюд: супов, основных блюд, закусок, салатов, домашней выпечки, десертов, напитков, наливок, варений и джемов - кухни разных стран мира. Для широкого круга читателей, интересующихся вопросами здорового питания.;9,79E+12;;Оникс;2010;496;твердый;;;70х100/16;0.8;100-fruktov-ovoschey-i-trav-na-tvoey-kuhne_5715016.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Дом. Быт;Кулинария. Напитки;Рецепты для различных категорий блюд;Соусы, специи, приправы;;
100 Great EFL Quizzes, Puzzles and Challenges;;The sight of students totally engrossed in their study and learning is so fulfilling for teachers to see and this collection of photocopiable activities helps this become a reality. Split into ten sections of ten, each part contains a style of puzzle or quiz that provides the students' English skills with a thorough workout. This book is suitable for intermediate and advanced learners and a standout feature throughout is how well the students work together when completing these tasks.    ;9,78E+12;Adrian Bozon;Crazy Chopstick Publications;2011;158;мягкий;;;;0.47 кг;100-great-efl-quizzes-puzzles-and-challenges_10580721.jpg;Книги;Книга по требованию;Общество и социальные исследования;Образование;Педагогическое мастерство и методы обучения;;;
100 клинических разборов. Внутренние болени;;;9,79E+12;Рис П.Д., Паттисон Д., Гуин Вильямс;ГЭОТАР-Медиа;2009;320;мягкий;;;70x100/16;0.3;100-klinicheskih-razborov-vnutrennie-boleni_5708657.jpg;Книги;Профессиональная, специальная  и учебная литература;Медицина и здоровье;Клиническая медицина. Внутренние болезни;Другие внутренние болезни;;;
100 китайских исцеляющих упражнений. Вылечи себя сам!;;;978-5-17-073777-2;Син Су;АСТ;2011;159;мягкий;Академия Здоровья И Удачи;;84x108/32;0, 102;100-kitayskih-istselyayuschih-uprajneniy-vyilechi-sebya-sam_4695240.jpg;Книги;Профессиональная, специальная  и учебная литература;Медицина и здоровье;Популярная и нетрадиционная медицина;Восточная медицина;;;
100 лучших игр для подготовки к школе;;Скоро ваш ребенок пойдет в школу. От того, как вы подготовите его к этому важному этапу в жизни, зависят его успех в учебе и легкость адаптации к школе. Самый действенный метод обучения в дошкольном возрасте - игра. В книге представлены игры, направленные на развитие всех качеств ребенка, которые необходимы в школе: мышление, память, внимание, логика, цветовое и слуховое восприятие, моторика, навыки общения. Для проведения некоторых игр понадобятся дополнительные материалы (карточки, кубики, вкладыши). В книге подробно описано, как их изготовить.<br/>Также вы сможете определить, насколько ваш ребенок готов к школе, узнаете, как заниматься с нестандартными детьми, которые отличаются от своих сверстников по эмоциональному или психическому развитию.<br/>Адресовано родителям 5-6-летних детей, работникам дошкольных учреждений.;978-5-8112-3320-5;Белякова О.В.;Айрис-пресс;2008;128;мягкий;Внимание: дети!;6000;70х100/16;0, 18;100-luchshih-igr-dlya-podgotovki-k-shkole_5404054.jpg;Книги;Профессиональная, специальная  и учебная литература;Общественные науки;Педагогика;Воспитательная работа. Организация досуга;;;
100 легендарных ресторанов мира;Everybody Eats There;"Париж, Нью-Йорк, Лос-Анджелес, Лондон. В каждом из этих городов свои легендарные рестораны, созданные легендами и для легенд.   Здесь вы сможете не просто со вкусом поужинать, но и приобщиться к жизни небожителей, которые взирают на нас со страниц глянцевых журналов. Эта книга - ресторанный путеводитель, созданный специально для вас. <br/>С ее помощью вы совершите уникальный тур по 100 самым знаменитым, самым ""вкусным"" и самым эксклюзивным ресторанам мира. Тайны их кухни и меню, фирменные блюда и шеф-повара, клиентура и интерьеры. А еще - самая точная информация о том, кого там ненароком можно встретить. К примеру, действующего президента, принца или принцессу, финансового магната, не говоря уже об актерах и актрисах, топ-моделях и рок-звездах, политиках и шоуменах, да и просто скандальных светских персонажах. Хотите знать, где едят все, - просто переверните страницу.";978-5-386-02484-0;Уильям Стадием, Мара Гиббз;Рипол Классик;2011;480;твердый;;1800;70x90/16;0.69;100-legendarnyih-restoranov-mira_4986813.jpg;Книги;Дом. Быт. Досуг. Прикладная литература;Справочная литература;Энциклопедии;;;;
